ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-07-06,5996.719121136855,-4170.125803118574,11748.099740658963,5996.719121136855,5996.719121136855,-1723.1372161028537,-1723.1372161028537,-1723.1372161028537,-854.3532850788066,-854.3532850788066,-854.3532850788066,-868.7839310240471,-868.7839310240471,-868.7839310240471,0.0,0.0,0.0,4273.5819050340015
2016-07-07,6003.622825745491,-3175.9154561301248,13399.506048932264,6003.622825745491,6003.622825745491,-914.5040217091707,-914.5040217091707,-914.5040217091707,57.021136585518605,57.021136585518605,57.021136585518605,-971.5251582946893,-971.5251582946893,-971.5251582946893,0.0,0.0,0.0,5089.11880403632
2016-07-09,6017.430234962764,-2813.332035319663,12531.5939430224,6017.430234962764,6017.430234962764,-1162.5544994479906,-1162.5544994479906,-1162.5544994479906,-2.185502066208281,-2.185502066208281,-2.185502066208281,-1160.3689973817825,-1160.3689973817825,-1160.3689973817825,0.0,0.0,0.0,4854.875735514774
2016-07-11,6031.237644180038,-2391.5720846984755,14320.766900984005,6031.237644180038,6031.237644180038,-570.6747512427739,-570.6747512427739,-570.6747512427739,747.9107025031481,747.9107025031481,747.9107025031481,-1318.585453745922,-1318.585453745922,-1318.585453745922,0.0,0.0,0.0,5460.562892937264
2016-07-12,6038.141348788675,-4031.006450974106,13061.570432346854,6038.141348788675,6038.141348788675,-1664.7741471501508,-1664.7741471501508,-1664.7741471501508,-281.6544808142294,-281.6544808142294,-281.6544808142294,-1383.1196663359215,-1383.1196663359215,-1383.1196663359215,0.0,0.0,0.0,4373.367201638524
2016-07-13,6045.045053397311,-3783.7752025032896,11336.33121615419,6045.045053397311,6045.045053397311,-2290.77179152457,-2290.77179152457,-2290.77179152457,-854.3532850787466,-854.3532850787466,-854.3532850787466,-1436.4185064458231,-1436.4185064458231,-1436.4185064458231,0.0,0.0,0.0,3754.273261872741
2016-07-14,6051.948758005948,-3277.2741800746458,12363.23781098664,6051.948758005948,6051.948758005948,-1420.4571837305955,-1420.4571837305955,-1420.4571837305955,57.021136586544515,57.021136586544515,57.021136586544515,-1477.4783203171398,-1477.4783203171398,-1477.4783203171398,0.0,0.0,0.0,4631.491574275352
2016-07-15,6058.852462614584,-3675.4964540533474,12587.539752503504,6058.852462614584,6058.852462614584,-1577.4908987973793,-1577.4908987973793,-1577.4908987973793,-72.04913558732574,-72.04913558732574,-72.04913558732574,-1505.4417632100535,-1505.4417632100535,-1505.4417632100535,0.0,0.0,0.0,4481.361563817204
2016-07-16,6065.7561672232205,-3449.9377156814226,12871.873581182073,6065.7561672232205,6065.7561672232205,-1521.8127496706109,-1521.8127496706109,-1521.8127496706109,-2.1855020660883877,-2.1855020660883877,-2.1855020660883877,-1519.6272476045224,-1519.6272476045224,-1519.6272476045224,0.0,0.0,0.0,4543.943417552609
2016-07-17,6072.659871831857,-2927.116977387318,13027.031177880674,6072.659871831857,6072.659871831857,-1114.245158790448,-1114.245158790448,-1114.245158790448,405.3105644581759,405.3105644581759,405.3105644581759,-1519.5557232486237,-1519.5557232486237,-1519.5557232486237,0.0,0.0,0.0,4958.414713041409
2016-07-18,6079.563576440492,-2556.975818493616,13121.383639771426,6079.563576440492,6079.563576440492,-757.0632189254733,-757.0632189254733,-757.0632189254733,747.9107025035423,747.9107025035423,747.9107025035423,-1504.9739214290157,-1504.9739214290157,-1504.9739214290157,0.0,0.0,0.0,5322.5003575150195
2016-07-19,6086.46728104913,-3247.0066942330805,12332.27976119233,6086.46728104913,6086.46728104913,-1757.5277438057697,-1757.5277438057697,-1757.5277438057697,-281.6544808158359,-281.6544808158359,-281.6544808158359,-1475.873262989934,-1475.873262989934,-1475.873262989934,0.0,0.0,0.0,4328.939537243361
2016-07-20,6093.370983886218,-5530.590858271671,11380.865585421501,6093.370983886218,6093.370983886218,-2286.857005744846,-2286.857005744846,-2286.857005744846,-854.3532850801735,-854.3532850801735,-854.3532850801735,-1432.503720664672,-1432.503720664672,-1432.503720664672,0.0,0.0,0.0,3806.513978141372
2016-07-21,6100.274686723306,-3407.265896669155,13073.082799860122,6100.274686723306,6100.274686723306,-1318.3609027250861,-1318.3609027250861,-1318.3609027250861,57.02113658535708,57.02113658535708,57.02113658535708,-1375.3820393104431,-1375.3820393104431,-1375.3820393104431,0.0,0.0,0.0,4781.91378399822
2016-07-23,6114.082092397483,-3184.2134475612434,13398.222307713779,6114.082092397483,6114.082092397483,-1225.4748645475213,-1225.4748645475213,-1225.4748645475213,-2.1855020665255083,-2.1855020665255083,-2.1855020665255083,-1223.2893624809958,-1223.2893624809958,-1223.2893624809958,0.0,0.0,0.0,4888.607227849962
2016-07-24,6120.985795234572,-2045.2880556360374,13854.475849660013,6120.985795234572,6120.985795234572,-725.3619172784573,-725.3619172784573,-725.3619172784573,405.3105644589417,405.3105644589417,405.3105644589417,-1130.672481737399,-1130.672481737399,-1130.672481737399,0.0,0.0,0.0,5395.6238779561145
2016-07-25,6127.8894980716605,-2176.341730865221,14222.23166736578,6127.8894980716605,6127.8894980716605,-281.07266132141984,-281.07266132141984,-281.07266132141984,747.9107025018827,747.9107025018827,747.9107025018827,-1028.9833638233026,-1028.9833638233026,-1028.9833638233026,0.0,0.0,0.0,5846.81683675024
2016-07-26,6134.793200908749,-3121.8853738149874,13102.174283246972,6134.793200908749,6134.793200908749,-1201.6290809591649,-1201.6290809591649,-1201.6290809591649,-281.6544808164217,-281.6544808164217,-281.6544808164217,-919.9746001427433,-919.9746001427433,-919.9746001427433,0.0,0.0,0.0,4933.164119949584
2016-07-28,6148.600606582927,-2025.6104741273073,14129.123770900887,6148.600606582927,6148.600606582927,-630.8651130905928,-630.8651130905928,-630.8651130905928,57.02113658593981,57.02113658593981,57.02113658593981,-687.8862496765325,-687.8862496765325,-687.8862496765325,0.0,0.0,0.0,5517.735493492334
2016-07-29,6155.5043094200155,-2415.9411257637707,13849.625887888746,6155.5043094200155,6155.5043094200155,-641.1280304524861,-641.1280304524861,-641.1280304524861,-72.04913558717823,-72.04913558717823,-72.04913558717823,-569.0788948653079,-569.0788948653079,-569.0788948653079,0.0,0.0,0.0,5514.376278967529
2016-07-31,6169.311715094193,-1514.9064184729611,14529.981085449825,6169.311715094193,6169.311715094193,68.1553301837122,68.1553301837122,68.1553301837122,405.3105644597074,405.3105644597074,405.3105644597074,-337.1552342759952,-337.1552342759952,-337.1552342759952,0.0,0.0,0.0,6237.467045277905
2016-08-01,6176.215417931281,-1294.606050283861,14905.430956296486,6176.215417931281,6176.215417931281,519.366590920153,519.366590920153,519.366590920153,747.9107025033754,747.9107025033754,747.9107025033754,-228.5441115832224,-228.5441115832224,-228.5441115832224,0.0,0.0,0.0,6695.582008851434
